City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Lagoa,PT,39.05,-27.9833,70.74,89,83,23.67,light rain
180,Szprotawa,PL,51.5656,15.5366,54.25,79,49,10.22,scattered clouds
181,Clacton-On-Sea,GB,51.7897,1.156,65.79,58,16,4.0,few clouds
182,Iznoski,RU,54.9881,35.3108,49.08,89,100,12.21,light rain
183,Zanjan,IR,36.6736,48.4787,63.48,50,0,7.2,clear sky
184,Shirvan,AZ,39.9509,48.8994,71.69,68,2,8.99,clear sky
185,Tastur,TN,36.5513,9.4431,77.76,39,1,6.73,clear sky
186,Steenwijk,NL,52.7875,6.1208,61.0,73,38,7.0,scattered clouds
187,Artyom,AZ,40.4723,50.333,71.74,62,34,16.26,scattered clouds
188,Karpathos,GR,35.507,27.2132,75.16,69,20,17.27,few clouds
189,Ribnica,SI,45.7386,14.7275,62.29,93,55,3.83,broken clouds
190,Berkak,NO,62.825,10.0118,45.48,94,100,2.33,overcast clouds
191,Sfantu Gheorghe,RO,45.8667,25.7833,53.92,75,65,12.17,broken clouds
192,Dalvik,IS,65.9702,-18.5286,51.73,87,100,10.25,overcast clouds
193,Vukovar,HR,45.3433,18.9997,64.17,63,0,4.61,clear sky
194,Feodosiya,UA,45.0333,35.3833,61.75,85,100,24.2,light rain
195,Vitoria,BR,-20.3194,-40.3378,84.06,74,0,14.97,clear sky
196,Shadrinsk,RU,56.0852,63.6335,39.87,55,85,12.01,overcast clouds
197,Kamensk-Uralskiy,RU,56.4185,61.9329,39.07,73,100,12.37,overcast clouds
198,Hof,DE,50.3167,11.9167,54.91,88,20,10.0,few clouds
199,Sorrento,IT,40.626,14.3744,72.1,88,75,2.3,broken clouds
200,Cumra,TR,37.5732,32.7745,80.74,24,49,9.75,scattered clouds
201,Maykor,RU,59.0059,55.88,52.83,64,99,13.91,overcast clouds
202,Masyaf,SY,35.0653,36.3406,74.19,59,14,7.45,few clouds
203,Shubarkuduk,KZ,49.1447,56.4872,52.34,25,84,10.54,broken clouds
204,Buinsk,RU,54.95,48.2833,56.8,93,96,11.27,overcast clouds
205,Kuzino,RU,57.0224,59.4412,46.49,71,87,7.61,overcast clouds
206,Nowogard,PL,53.6744,15.1163,58.44,72,0,11.5,clear sky
207,Umea,SE,63.8284,20.2597,49.93,100,75,5.75,broken clouds
208,Sindal,DK,57.4712,10.2031,55.13,88,6,7.34,clear sky
209,Sainte-Luce-Sur-Loire,FR,47.2538,-1.4843,65.16,85,100,9.22,overcast clouds
210,Kjustendil,BG,42.2839,22.6911,56.55,67,6,3.13,clear sky
211,Chufarovo,RU,54.0963,47.3367,57.2,93,96,7.61,overcast clouds
212,Seydi,TM,39.4816,62.9137,56.97,14,2,10.31,clear sky
213,Kushmurun,KZ,52.4503,64.6311,39.61,30,5,7.05,clear sky
214,Ebbs,AT,47.6333,12.2167,57.97,98,100,2.73,moderate rain
215,Novyy Rogachik,RU,48.6768,44.0608,70.7,47,100,15.59,overcast clouds
216,Harboore,DK,56.6175,8.1807,56.14,85,7,23.51,clear sky
217,Kovdor,RU,67.5662,30.4758,37.27,91,57,5.08,light rain
218,Borsa,RO,47.6553,24.6633,46.06,95,83,4.36,broken clouds
219,Plerin,FR,48.5425,-2.7798,64.38,89,100,5.99,overcast clouds
220,Ballyshannon,IE,54.5,-8.1833,57.22,76,48,4.47,scattered clouds
221,Buzmeyin,TM,38.0507,58.2056,65.93,22,0,6.91,clear sky
222,Ieud,RO,47.678,24.234,48.0,92,80,3.02,broken clouds
223,Lardos,GR,36.0942,28.0157,78.94,69,0,21.3,clear sky
224,Chateauroux,FR,46.8167,1.7,68.0,73,40,13.8,scattered clouds
225,Lipari,IT,38.4674,14.954,75.33,63,31,8.9,scattered clouds
226,Sulzbach,DE,49.3,7.0667,55.27,99,40,4.61,heavy intensity rain
227,Eregli,TR,37.5133,34.0467,76.55,27,22,4.68,few clouds
228,Lixourion,GR,38.2019,20.4314,71.6,73,20,20.71,few clouds
229,Gisors,FR,49.2818,1.7801,60.08,92,100,4.45,overcast clouds
230,Cefalu,IT,38.0386,14.0229,74.53,72,0,1.01,clear sky
231,Plock,PL,52.5468,19.7064,52.38,78,100,7.47,overcast clouds
232,Safonovo,RU,55.15,33.2167,46.78,94,100,14.7,moderate rain
233,Halden,NO,59.1226,11.3871,55.83,84,92,2.68,overcast clouds
234,Vuktyl,RU,63.8567,57.3094,44.38,90,100,12.5,light rain
235,Donskoye,RU,45.4552,41.9741,73.53,42,100,11.01,overcast clouds
236,Huntingdon,GB,52.3305,-0.1865,64.18,57,5,7.67,clear sky
237,Leninskoye,KZ,41.7589,69.3864,57.85,26,56,3.6,broken clouds
238,Rovnoye,RU,50.7765,46.0509,66.15,66,100,14.09,overcast clouds
239,La Union,PE,-5.4,-80.75,80.35,45,60,7.52,broken clouds
240,El Viso Del Alcor,ES,37.3911,-5.7199,88.2,20,0,11.5,clear sky
241,Lieksa,FI,63.3167,30.0167,44.46,91,60,3.11,broken clouds
242,Shetpe,KZ,44.1667,52.1167,64.18,24,8,21.36,clear sky
243,Roros,NO,62.5747,11.3842,48.04,71,75,4.61,broken clouds
244,Sainte-Savine,FR,48.2964,4.0464,66.15,82,75,12.66,broken clouds
245,Gornyy,RU,55.1153,83.9059,28.87,85,28,0.65,scattered clouds
246,Sorochinsk,RU,52.4338,53.1583,57.0,46,82,15.79,broken clouds
247,Kozan,TR,37.4552,35.8157,78.04,63,45,3.42,scattered clouds
248,Pershotravneve,UA,51.3929,28.8684,44.13,92,100,17.0,moderate rain
249,Aste,IT,45.7906,11.0961,66.45,75,17,3.22,few clouds
250,Siderno,IT,38.2779,16.302,68.34,73,3,11.99,clear sky
251,Yerkoy,TR,39.6381,34.4672,75.09,39,93,9.48,light rain
252,Tvoroyri,FO,61.5556,-6.8111,51.84,83,30,28.34,scattered clouds
253,Panino,RU,51.6467,40.1346,64.02,76,100,17.18,light rain
254,Bitlis,TR,38.5,42.25,60.35,30,4,4.92,clear sky
255,Waldshut-Tiengen,DE,47.6232,8.2172,67.24,88,67,12.44,broken clouds
256,Maarianhamina,AX,60.0973,19.9348,49.86,87,0,3.44,clear sky
257,Nadvoitsy,RU,63.8667,34.3167,39.61,80,47,2.57,scattered clouds
258,Poshtove,UA,44.8311,33.9545,61.5,83,99,12.35,light rain
259,Lisakovsk,KZ,52.5369,62.4936,41.34,30,8,7.94,clear sky
260,Verkhnyaya Salda,RU,58.0456,60.5533,43.39,80,98,9.26,overcast clouds
261,Staritsa,RU,56.5075,34.9354,45.37,93,100,9.46,overcast clouds
262,Ostersund,SE,63.1792,14.6357,52.61,87,0,6.91,clear sky
263,Mogadouro,PT,41.3403,-6.7119,82.26,24,8,2.17,clear sky
264,Raunheim,DE,50.0167,8.45,58.91,95,0,9.22,clear sky
265,Damavand,IR,35.7178,52.065,58.91,59,1,2.39,clear sky
266,Mednogorsk,RU,51.4128,57.595,44.6,39,25,7.11,scattered clouds
267,Kara-Tyube,RU,44.6336,45.4369,69.04,62,91,20.02,overcast clouds
268,Tjome,NO,59.1109,10.3933,56.1,78,0,3.44,clear sky
269,Safranbolu,TR,41.2508,32.6942,59.45,90,94,5.23,overcast clouds
270,Makat,KZ,47.6469,53.3463,65.03,27,86,19.13,overcast clouds
271,Primorsko-Akhtarsk,RU,46.0497,38.1747,72.45,54,100,15.59,overcast clouds
272,Strangnas,SE,59.3774,17.0312,50.95,87,100,2.51,overcast clouds
273,Dubovka,RU,49.0583,44.829,70.75,56,100,14.34,overcast clouds
274,Chernaya Kholunitsa,RU,58.8511,51.7154,50.68,96,100,12.1,light rain
275,Boddam,GB,57.4667,-1.7833,59.65,71,94,14.36,overcast clouds
276,Narimanov,RU,46.6927,47.8498,62.51,57,100,16.26,overcast clouds
277,Gryfino,PL,53.2524,14.4883,59.0,68,27,12.59,scattered clouds
278,Urazovka,RU,55.4013,45.6186,57.4,93,100,6.87,overcast clouds
279,Nevsehir,TR,38.9167,34.6667,74.41,29,40,8.05,scattered clouds
280,Salamiyah,SY,35.0113,37.0532,78.73,41,1,9.15,clear sky
281,Turkan,AZ,40.3639,50.215,71.78,68,0,11.5,clear sky
282,Igrim,RU,63.1906,64.4162,38.73,82,100,8.84,overcast clouds
283,Canesti,RO,45.4,26.6,61.83,63,4,15.08,clear sky
284,Ylivieska,FI,64.0833,24.55,45.32,93,31,4.25,scattered clouds
285,Den Helder,NL,52.9599,4.7593,60.03,72,75,14.0,broken clouds
286,Dulyapino,RU,57.2578,40.8147,49.48,86,100,4.07,overcast clouds
287,Chingirlau,KZ,51.095,54.0814,56.26,39,63,14.79,broken clouds
288,Guca,RS,43.7767,20.2253,67.89,67,12,1.23,few clouds
289,Kemijarvi,FI,66.7131,27.4306,42.87,99,100,5.82,overcast clouds
290,Minsk,BY,53.9,27.5667,44.35,92,100,12.21,overcast clouds
291,Yalvac,TR,38.2956,31.1778,66.36,56,14,10.92,few clouds
